gender,age,count_2010
 Female,0,4300
 Female,1,4262
 Female,2,4203
 Female,3,3941
 Female,4,3751
 Female,5,3611
 Female,6,3526
 Female,7,3414
 Female,8,3337
 Female,9,3493
 Female,10,3588
 Female,11,3496
 Female,12,3303
 Female,13,3395
 Female,14,3248
 Female,15,3489
 Female,16,3737
 Female,17,3959
 Female,18,5230
 Female,19,6082
 Female,20,5839
 Female,21,5863
 Female,22,5929
 Female,23,6026
 Female,24,6301
 Female,25,6422
 Female,26,6202
 Female,27,6245
 Female,28,5976
 Female,29,5727
 Female,30,5538
 Female,31,5043
 Female,32,4736
 Female,33,4358
 Female,34,4105
 Female,35,3989
 Female,36,3695
 Female,37,3779
 Female,38,3843
 Female,39,4094
 Female,40,4006
 Female,41,3938
 Female,42,4014
 Female,43,3942
 Female,44,4105
 Female,45,4399
 Female,46,4384
 Female,47,4418
 Female,48,4542
 Female,49,4804
 Female,50,4876
 Female,51,4861
 Female,52,4676
 Female,53,4594
 Female,54,4397
 Female,55,4213
 Female,56,4141
 Female,57,4207
 Female,58,3863
 Female,59,3986
 Female,60,3780
 Female,61,3617
 Female,62,3576
 Female,63,3318
 Female,64,2575
 Female,65,2730
 Female,66,2663
 Female,67,2614
 Female,68,2336
 Female,69,2123
 Female,70,2128
 Female,71,2003
 Female,72,1915
 Female,73,1809
 Female,74,1799
 Female,75,1742
 Female,76,1639
 Female,77,1763
 Female,78,1507
 Female,79,1517
 Female,80,1442
 Female,81,1465
 Female,82,1362
 Female,83,1390
 Female,84,1156
 Female,85,1140
 Female,86,1065
 Female,87,882
 Female,88,840
 Female,89,689
 Female,90,572
 Female,91,467
 Female,92,425
 Female,93,302
 Female,94,244
 Female,95,196
 Female,96,150
 Female,97,105
 Female,98,75
 Female,99,61
 Female,100,35
 Female,101,21
 Female,102,12
 Female,103,7
 Female,104,4
 Female,105,3
 Female,106,2
 Female,107,2
 Female,108,1
 Female,109,1
 Female,110,1
 Male,0,4351
 Male,1,4201
 Male,2,4170
 Male,3,4070
 Male,4,3903
 Male,5,3768
 Male,6,3619
 Male,7,3525
 Male,8,3456
 Male,9,3692
 Male,10,3641
 Male,11,3538
 Male,12,3335
 Male,13,3347
 Male,14,3448
 Male,15,3663
 Male,16,3742
 Male,17,4038
 Male,18,4795
 Male,19,5543
 Male,20,5340
 Male,21,5289
 Male,22,5012
 Male,23,5339
 Male,24,5522
 Male,25,5675
 Male,26,5501
 Male,27,5526
 Male,28,5249
 Male,29,5152
 Male,30,5157
 Male,31,4532
 Male,32,4383
 Male,33,4114
 Male,34,3923
 Male,35,3719
 Male,36,3495
 Male,37,3503
 Male,38,3637
 Male,39,3811
 Male,40,3996
 Male,41,3551
 Male,42,3674
 Male,43,3832
 Male,44,3941
 Male,45,4214
 Male,46,4251
 Male,47,4063
 Male,48,4187
 Male,49,4310
 Male,50,4306
 Male,51,4122
 Male,52,4309
 Male,53,3870
 Male,54,3862
 Male,55,3808
 Male,56,3510
 Male,57,3575
 Male,58,3328
 Male,59,3347
 Male,60,3214
 Male,61,2973
 Male,62,2971
 Male,63,2782
 Male,64,2122
 Male,65,2185
 Male,66,1967
 Male,67,2023
 Male,68,1822
 Male,69,1635
 Male,70,1519
 Male,71,1429
 Male,72,1337
 Male,73,1290
 Male,74,1225
 Male,75,1150
 Male,76,1076
 Male,77,1114
 Male,78,933
 Male,79,956
 Male,80,835
 Male,81,775
 Male,82,736
 Male,83,682
 Male,84,670
 Male,85,601
 Male,86,482
 Male,87,447
 Male,88,373
 Male,89,272
 Male,90,230
 Male,91,178
 Male,92,116
 Male,93,94
 Male,94,74
 Male,95,59
 Male,96,46
 Male,97,31
 Male,98,16
 Male,99,9
 Male,100,6
 Male,101,5
 Male,102,3
 Male,103,2
 Male,104,2
 Male,105,1
 Male,106,1
 Male,107,0
 Male,108,0
 Male,109,0
 Male,110,0
