Year,Online,Bar_rest,Friends,Work,Family,School,College,Church,Neighbors
1940,0,12,28,6,29,27,6,11,14
1945,0,13,29,7,28,25,7,10,13
1950,0,14,30,9,27,24,7,9,13
1955,0,15,31,10,26,22,7,8,12
1960,0,16,32,12,25,21,8,8,11
1965,0,17,33,14,23,19,8,7,10
1970,0,18,33,16,22,17,8,7,9
1975,0,18,34,17,20,15,8,7,9
1980,0,18,34,19,19,14,8,7,8
1985,0,18,34,19,18,13,9,7,8
1990,0,18,34,20,17,12,9,7,8
1995,1,18,33,20,15,11,9,7,8
2000,10,18,32,18,13,10,9,7,7
2005,18,19,30,16,12,9,9,6,7
2010,21,21,27,13,10,8,8,5,6
2015,30,25,23,12,8,6,5,4,4
2020,42,30,18,10,5,4,3,4,2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
