DATE,mdn_fam_y,mdn_house_y
1/1/53,NULL,4242
1/1/54,NULL,4167
1/1/55,NULL,4418
1/1/56,NULL,4780
1/1/57,NULL,4966
1/1/58,NULL,5087
1/1/59,NULL,5417
1/1/60,NULL,5620
1/1/61,NULL,5735
1/1/62,NULL,5956
1/1/63,NULL,6249
1/1/64,NULL,6569
1/1/65,NULL,6957
1/1/66,NULL,7532
1/1/67,NULL,7933
1/1/68,NULL,8632
1/1/69,NULL,9433
1/1/70,NULL,9867
1/1/71,NULL,10285
1/1/72,NULL,11116
1/1/73,NULL,12051
1/1/74,NULL,12902
1/1/75,NULL,13719
1/1/76,NULL,14958
1/1/77,NULL,16009
1/1/78,NULL,17640
1/1/79,NULL,19587
1/1/80,NULL,21023
1/1/81,NULL,22388
1/1/82,NULL,23433
1/1/83,NULL,24580
1/1/84,22415,26433
1/1/85,23618,27735
1/1/86,24897,29458
1/1/87,26061,30970
1/1/88,27225,32191
1/1/89,28906,34213
1/1/90,29943,35353
1/1/91,30126,35939
1/1/92,30636,36573
1/1/93,31241,36959
1/1/94,32264,38782
1/1/95,34076,40611
1/1/96,35492,42300
1/1/97,37005,44568
1/1/98,38885,46737
1/1/99,40696,48831
1/1/00,41990,50732
1/1/01,42228,51407
1/1/02,42409,51680
1/1/03,43318,52680
1/1/04,44334,54061
1/1/05,46326,56194
1/1/06,48201,58407
1/1/07,50233,61355
1/1/08,50303,61521
1/1/09,49777,60088
1/1/10,49276,60236
1/1/11,50054,60974
1/1/12,51017,62241
1/1/13,53585,65471
1/1/14,53657,66632
1/1/15,56516,70697
1/1/16,59039,72707
1/1/17,61372,75938
