state,incar_adults,incar_all
Oklahoma,"1,310",990
Louisiana,"1,270",970
Mississippi,"1,260",960
Georgia,"1,160",880
Alabama,"1,080",840
Texas,"1,050",780
Arkansas,"1,050",800
Arizona,"1,030",790
Kentucky,"1,010",780
Missouri,940,730
New Mexico,930,710
Tennessee,930,720
Idaho,900,670
Florida,900,720
Nevada,890,680
South Dakota,880,670
Virginia,880,680
Delaware,880,690
Wyoming,870,660
Indiana,850,650
South Carolina,820,640
Pennsylvania,810,640
Alaska,800,600
Ohio,790,610
Wisconsin,790,620
Kansas,780,590
Colorado,740,580
Michigan,730,570
Montana,700,550
West Virginia,690,550
North Carolina,680,530
California,670,510
Oregon,640,500
Illinois,620,480
Nebraska,610,460
Maryland,610,470
Iowa,560,430
Utah,540,380
North Dakota,540,410
Washington,530,410
Connecticut,530,420
Hawaii,500,390
New York,480,380
New Jersey,460,360
New Hampshire,410,330
Minnesota,380,290
Maine,380,300
Rhode Island,370,290
Massachusetts,360,280
Vermont,340,280
District of Columbia,320,270
